,X-Dist,Y-Dist,Speed,Direction,RotSpeed,Collision_Y,Collision_N
0,-0.160926,0.76469,0.694503,-0.959166,-0.402047,1,0
1,-0.957353,0.440668,0.309079,0.749758,0.388697,0,1
2,-0.816573,0.133117,0.349738,-0.246303,-0.829352,0,1
3,-0.168891,0.830368,0.585278,-0.396212,-0.791836,0,1
4,-0.802456,0.712549,0.6963,0.388805,0.994499,0,1
5,0.016981,0.005004,0.702336,0.930737,-0.833861,1,0
6,0.009083,0.809422,0.509219,-0.520604,0.600244,1,0
7,-0.577322,0.596216,0.467658,0.222258,-0.358963,0,1
8,-0.477573,0.937908,0.25701,0.250588,0.434666,0,1
9,-0.358125,0.556626,0.58951,-0.647459,0.400288,1,0
10,-0.12997,0.182233,0.318781,-0.472676,0.969002,1,0
11,-0.340807,0.779995,0.441321,-0.00823,-0.176329,1,0
12,-0.988559,0.746548,0.143833,0.449227,-0.423548,0,1
13,0.908111,0.634719,0.160021,-0.319307,-0.491242,0,1
14,0.964501,0.277063,0.123609,0.538019,0.920611,0,1
15,-0.422321,0.979574,0.183966,-0.140587,-0.848366,0,1
16,0.008989,0.689408,0.825243,-0.724228,0.922863,1,0
17,0.857458,0.347916,0.48793,-0.658763,-0.320328,0,1
18,0.940575,0.192005,0.449526,0.891412,-0.141388,0,1
19,-0.918756,0.659087,0.542753,0.749078,-0.481758,0,1
20,-0.147366,0.816004,0.111732,0.201303,-0.185268,1,0
21,-0.329407,0.768906,0.402764,-0.422297,0.013143,0,1
22,0.172429,0.459451,0.390044,-0.628621,-0.194234,1,0
23,0.080031,0.444968,0.443771,-0.775993,0.165284,1,0
24,0.51808,0.133651,0.323054,-0.213733,-0.410902,0,1
25,-0.096463,0.911827,0.414425,-0.086771,-0.687098,1,0
26,-0.720488,0.519065,0.384249,-0.342864,-0.702248,0,1
27,-0.12678,0.898641,0.535597,0.548031,-0.246914,0,1
28,-0.693077,0.764458,0.026136,0.161456,-0.989385,0,1
29,-0.16347,0.407859,0.993915,-0.83395,0.127909,0,1
30,-0.030185,0.597764,0.26387,-0.321915,-0.494681,0,1
31,-0.153919,0.405918,0.97985,-0.415315,0.136873,1,0
32,-0.493447,0.377209,0.522226,-0.144914,0.202011,1,0
33,0.717019,0.458469,0.715263,-0.814781,-0.982482,0,1
34,0.863131,0.666203,0.893206,0.743546,0.940317,0,1
35,-0.015685,0.551126,0.892809,0.520656,0.934179,1,0
36,0.182975,0.829166,0.708255,-0.820235,0.356,0,1
