,X-Dist,Y-Dist,Speed,Direction,RotSpeed,Collision_Y,Collision_N
0,0.093739,0.781127,0.366642,-0.299858,0.480513,1,0
1,-0.590533,0.016121,0.730073,0.789688,0.480634,0,1
2,0.344184,0.177216,0.598526,0.609181,0.128709,1,0
3,0.298716,0.8043,0.705614,0.488918,-0.33172,0,1
4,0.024062,0.957553,0.601366,-0.681419,0.649428,1,0
5,0.155615,0.092602,0.351989,0.117714,0.061402,0,1
6,0.195242,0.978255,0.482276,-0.615683,-0.006669,1,0
7,0.073419,0.119289,0.090316,0.465804,0.027957,1,0
8,-0.410592,0.782472,0.482253,-0.34384,0.442215,0,1
9,0.064753,0.5956,0.206697,-0.950706,0.837209,1,0
10,-0.765889,0.364399,0.164982,0.486083,-0.87144,0,1
11,0.204325,0.516845,0.784432,0.14841,0.726479,1,0
12,-0.137208,0.5519,0.661306,-0.543783,0.155754,1,0
13,0.866678,0.983494,0.137029,0.680139,0.485685,0,1
14,-0.77883,0.055014,0.318432,0.804209,0.64114,0,1
15,-0.254475,0.088016,0.178631,0.882769,0.893566,0,1
16,-0.074863,0.996179,0.240003,-0.562344,0.320133,1,0
17,0.009036,0.25993,0.537035,0.063763,0.919022,1,0
18,0.997011,0.604633,0.467549,-0.556239,-0.845212,0,1
19,0.165039,0.197093,0.103897,0.846399,-0.64538,0,1
20,0.050181,0.337964,0.067663,0.924606,0.45041,1,0
21,-0.056836,0.34719,0.454911,0.949222,-0.856883,1,0
22,-0.018065,0.547926,0.200213,0.384416,0.676855,1,0
23,0.792964,0.998124,0.29074,-0.952047,0.468671,0,1
24,-0.037267,0.905048,0.890163,0.507581,0.835269,1,0
25,-0.0289,0.089146,0.504372,0.58083,0.971541,1,0
26,0.942838,0.411094,0.303514,0.061845,0.308084,0,1
27,0.230597,0.491087,0.099586,0.939744,0.401725,0,1
28,0.248244,0.464198,0.613966,-0.454832,0.375127,0,1
29,0.312324,0.421065,0.077047,-0.810223,-0.55612,0,1
30,-0.17314,0.878653,0.561218,-0.813227,0.8312,1,0
31,-0.066022,0.928523,0.384479,0.97993,-0.378837,1,0
32,0.075479,0.837279,0.031016,0.067208,0.618597,1,0
33,-0.027576,0.074695,0.263419,0.379403,-0.09822,1,0
34,-0.023722,0.18831,0.649475,-0.105275,-0.495644,1,0
35,0.679442,0.284951,0.535902,0.346389,-0.813891,0,1
36,-0.02205,0.318165,0.866893,-0.629098,0.052905,1,0
37,-0.254093,0.082074,0.536816,0.466112,-0.612804,1,0
