,X-Dist,Y-Dist,Speed,Direction,RotSpeed,Collision_Y,Collision_N
0,-0.335829,0.658223,0.813576,0.54613,-0.500465,1,0
1,0.737409,0.826289,0.52321,0.690524,0.122176,1,0
2,0.608197,0.146301,0.893346,-0.404743,0.564564,0,1
3,-0.719592,0.944689,0.611708,-0.698417,0.823615,0,1
4,-0.254635,0.579597,0.523422,-0.851126,0.525735,1,0
5,-0.415518,0.714135,0.098541,0.489983,0.61898,0,1
6,-0.831655,0.99906,0.531769,-0.870636,0.715972,0,1
7,-0.084873,0.128548,0.227507,0.114755,-0.513231,1,0
8,-0.745265,0.652117,0.727313,-0.812685,-0.220687,0,1
9,-0.381166,0.245702,0.657382,-0.196275,-0.483272,0,1
10,0.600371,0.264642,0.820999,-0.125284,-0.978353,0,1
11,0.272814,0.353633,0.954153,-0.781651,-0.572262,0,1
12,-0.075272,0.830908,0.863287,-0.53341,-0.779738,0,1
13,0.094208,0.237818,0.955781,0.128591,0.203351,0,1
14,-0.80526,0.230211,0.890625,-0.074103,0.164865,1,0
15,0.125345,0.406128,0.30406,0.081091,-0.341052,0,1
16,0.571028,0.547956,0.741671,0.21449,0.413782,0,1
17,-0.042325,0.355251,0.595309,0.948216,-0.815585,1,0
18,-0.172083,0.049549,0.534747,0.933237,0.184766,0,1
19,-0.996806,0.524106,0.914618,-0.753492,0.250672,0,1
20,0.401167,0.532802,0.461519,0.569238,-0.355463,0,1
21,0.551162,0.343884,0.997508,-0.430737,-0.18951,0,1
22,0.370823,0.575386,0.278772,-0.959272,0.147164,0,1
23,-0.171955,0.646174,0.767447,0.335413,-0.92453,1,0
24,0.120207,0.578388,0.072078,0.253911,0.757981,0,1
25,-0.663205,0.93424,0.569996,0.530079,-0.241993,1,0
26,-0.157087,0.851615,0.493937,0.843916,-0.712254,1,0
27,0.396586,0.354192,0.983124,-0.828523,-0.033685,1,0
28,-0.677108,0.18769,0.699787,0.720869,-0.341686,0,1
29,-0.860936,0.792968,0.368225,-0.376361,-0.928999,0,1
30,0.09731,0.108215,0.251888,0.819826,0.299946,1,0
31,-0.71237,0.848708,0.870937,0.522486,-0.49154,0,1
32,-0.653413,0.177091,0.685218,-0.01422,0.135751,1,0
33,-0.033991,0.434672,0.159277,0.872217,0.877835,1,0
34,0.028018,0.773094,0.177258,0.948633,-0.864184,1,0
35,-0.043354,0.671197,0.052129,0.786718,0.466383,1,0
36,0.475736,0.198592,0.073557,0.970828,0.393154,0,1
37,0.136247,0.713949,0.20412,0.497101,0.44276,1,0
38,0.368989,0.694605,0.965842,-0.795236,0.49357,0,1
39,-0.241806,0.260527,0.769909,0.579704,-0.757627,1,0
40,-0.120155,0.155207,0.87642,0.929738,-0.568567,1,0
41,-0.05077,0.782713,0.491468,-0.097119,-0.380622,1,0
42,0.744689,0.86163,0.981122,0.098017,-0.89515,0,1
43,-0.144572,0.712284,0.49888,0.8654,-0.435228,1,0
44,-0.454815,0.126894,0.457019,0.108588,-0.211024,0,1
45,-0.130765,0.107756,0.635607,0.873385,-0.848081,1,0
46,0.135678,0.055394,0.904396,-0.612395,-0.953325,1,0
47,-0.800081,0.099529,0.75511,0.395761,-0.785015,0,1
48,0.002904,0.584919,0.121223,-0.990636,-0.670843,1,0
49,0.080426,0.427556,0.065285,-0.516796,-0.806196,1,0
50,0.306032,0.714446,0.058568,0.052801,-0.573175,0,1
51,-0.038282,0.86868,0.254767,-0.169344,-0.517629,1,0
52,-0.11025,0.303872,0.52742,-0.035277,-0.866977,1,0
53,-0.038136,0.156785,0.153813,0.461709,-0.18593,1,0
54,0.802324,0.07968,0.188561,0.905117,-0.476675,0,1
55,0.205384,0.392132,0.942347,-0.281381,-0.735633,1,0
56,-0.928998,0.034305,0.170669,0.609764,-0.092753,0,1
57,0.270516,0.597846,0.088608,0.399988,0.128135,0,1
58,-0.022124,0.602475,0.617926,-0.882271,0.883424,1,0
59,0.01397,0.632078,0.023568,0.943255,-0.652642,1,0
60,-0.239347,0.204984,0.640241,0.066541,-0.466666,1,0
61,0.263652,0.680223,0.993081,-0.711495,-0.617568,1,0
62,-0.865417,0.586697,0.432732,-0.402786,-0.106013,0,1
63,0.453544,0.493388,0.674768,0.96513,0.103529,1,0
64,-0.237157,0.486181,0.870681,0.934507,0.50321,0,1
65,-0.090628,0.451485,0.579371,-0.101768,-0.827204,1,0
66,0.055009,0.547162,0.083916,0.169956,0.886893,1,0
67,0.072148,0.075694,0.717611,-0.242153,-0.670363,1,0
68,0.592666,0.002133,0.813315,-0.806955,-0.858772,0,1
69,-0.701652,0.324123,0.732267,-0.100568,0.678347,0,1
70,0.086789,0.421353,0.622416,-0.076453,0.963783,1,0
71,-0.125746,0.191447,0.487873,0.381074,-0.963351,1,0
72,0.017909,0.316863,0.060448,0.911945,0.124325,1,0
73,-0.041708,0.4361,0.40914,-0.24597,-0.897238,1,0
74,0.050006,0.381529,0.318897,-0.694345,0.950322,1,0
75,0.02121,0.680336,0.186239,-0.656935,0.106818,1,0
76,-0.421626,0.898441,0.866316,0.147855,0.416554,0,1
77,-0.77404,0.828596,0.826236,-0.661246,-0.420773,0,1
78,-0.41328,0.632965,0.426159,-0.235296,-0.492126,0,1
79,-0.090502,0.045391,0.247875,-0.39432,0.124564,1,0
80,-0.898707,0.067498,0.003071,-0.594937,0.695141,0,1
81,-0.096518,0.000999,0.697727,-0.520481,-0.463352,1,0
82,-0.088365,0.314802,0.825158,-0.239588,-0.899797,1,0
83,-0.356517,0.013609,0.623647,-0.721119,-0.686944,0,1
84,0.289882,0.683583,0.930637,0.700118,-0.11629,0,1
85,-0.577121,0.098262,0.041572,0.680772,0.435932,0,1
86,0.028813,0.69232,0.24483,-0.796804,-0.622941,1,0
87,0.121761,0.906774,0.93224,-0.953213,0.351993,1,0
88,0.01407,0.721306,0.083762,0.539737,-0.934009,1,0
89,0.275722,0.955521,0.712008,0.797799,0.008626,0,1
90,0.115917,0.017057,0.949207,0.841186,-0.188754,1,0
91,-0.336693,0.048811,0.113084,0.982867,0.198633,0,1
92,-0.519682,0.701786,0.761402,0.687398,-0.270065,0,1
93,-0.010652,0.035429,0.974548,-0.034899,-0.044546,1,0
94,-0.039227,0.001515,0.69897,-0.904873,0.700002,1,0
95,0.966841,0.045486,0.402815,0.628365,-0.746313,0,1
96,0.095049,0.396475,0.642751,-0.463707,-0.109588,1,0
97,0.001925,0.090242,0.188315,0.856346,0.90161,1,0
98,0.113298,0.139635,0.347258,0.974005,0.641078,1,0
99,-0.498668,0.754349,0.191679,-0.157038,0.91547,0,1
100,0.066718,0.36135,0.094539,0.868479,-0.582763,1,0
101,-0.427766,0.012835,0.581141,0.929818,0.304265,0,1
102,-0.725061,0.242911,0.453029,0.223231,-0.940399,0,1
103,0.30176,0.454236,0.386659,0.780094,0.353275,1,0
104,0.367395,0.340587,0.914675,0.916887,0.239784,1,0
105,-0.20574,0.354218,0.789112,-0.599905,0.077873,0,1
106,0.673487,0.087936,0.112638,0.228969,-0.135332,0,1
107,0.923006,0.736537,0.378696,0.314736,-0.217057,0,1
108,-0.102122,0.451337,0.622541,-0.345021,0.429224,1,0
109,0.344464,0.503832,0.989395,-0.393223,0.856455,0,1
110,-0.058046,0.005636,0.5829,-0.106046,-0.364341,1,0
111,-0.064702,0.01093,0.537091,0.738017,-0.989762,1,0
112,0.527112,0.665833,0.410374,-0.209809,0.474382,0,1
113,-0.001565,0.143511,0.234963,-0.509242,0.637339,1,0
114,-0.855226,0.369144,0.63607,-0.46677,-0.549434,0,1
115,-0.388292,0.7166,0.983925,-0.376537,0.706464,1,0
116,-0.120713,0.63129,0.831912,-0.255602,-0.193689,1,0
117,0.802805,0.730372,0.459866,-0.904218,0.871957,0,1
118,-0.071626,0.877125,0.682361,-0.815564,-0.448042,1,0
119,-0.647925,0.198633,0.570179,-0.115483,0.961909,0,1
120,0.014218,0.399504,0.910542,-0.734289,0.426478,1,0
121,-0.289419,0.580392,0.988729,-0.63859,-0.704675,0,1
122,-0.030434,0.13773,0.70636,-0.289531,-0.919067,1,0
123,-0.254191,0.509709,0.346916,-0.898483,0.985036,0,1
124,-0.136893,0.286597,0.254705,-0.242117,0.418441,1,0
125,-0.972749,0.984437,0.885116,-0.814102,0.349693,0,1
126,0.319437,0.562785,0.514278,-0.504559,-0.425069,1,0
127,-0.206405,0.007387,0.376668,0.320121,-0.964376,0,1
128,0.073785,0.431275,0.970304,-0.742396,0.252461,1,0
129,0.059814,0.71925,0.219162,0.129572,0.203213,1,0
130,-0.042273,0.073551,0.520412,0.730664,-0.357873,1,0
131,0.216176,0.293547,0.508466,-0.801865,-0.126002,1,0
132,-0.059199,0.847485,0.075419,-0.648488,0.403884,1,0
133,-0.105084,0.136118,0.484375,0.079065,-0.520272,1,0
134,-0.231858,0.189239,0.39182,0.571118,-0.567112,1,0
135,-0.270441,0.749081,0.148543,0.757408,-0.679328,0,1
136,0.66392,0.95381,0.137546,0.366928,-0.269605,0,1
137,0.140006,0.008696,0.720015,0.750758,0.885662,1,0
138,-0.450388,0.992782,0.148499,0.664048,0.779515,0,1
139,-0.767612,0.904646,0.444409,0.698056,-0.133069,0,1
140,0.026906,0.188656,0.37457,0.976792,0.961018,1,0
141,-0.072911,0.685995,0.724063,-0.354781,0.924144,1,0
142,0.802767,0.499202,0.220311,0.592763,0.980118,0,1
143,0.198356,0.383519,0.758476,-0.289272,-0.389831,0,1
144,-0.634023,0.828765,0.268974,0.298752,-0.537431,0,1
145,-0.189617,0.083187,0.675581,0.757807,-0.464687,1,0
146,-0.98629,0.434179,0.882947,0.178193,0.638839,0,1
147,0.719314,0.12433,0.849823,0.412399,-0.78077,0,1
148,0.537827,0.006188,0.783112,-0.498775,-0.936147,0,1
149,0.738058,0.580476,0.553538,-0.437584,0.289746,0,1
150,-0.556274,0.219655,0.522482,0.028025,0.699107,0,1
151,0.08121,0.526654,0.546286,-0.4705,-0.192512,1,0
152,0.875888,0.034843,0.777819,-0.317036,0.901111,0,1
153,-0.47338,0.671761,0.609256,-0.689728,0.080204,0,1
154,-0.251888,0.26735,0.969219,-0.242405,0.086592,1,0
155,0.431771,0.444643,0.939041,-0.587991,0.931736,0,1
156,-0.286417,0.789761,0.071191,-0.116681,0.37612,0,1
157,-0.139415,0.653834,0.785748,-0.412727,0.127789,1,0
158,0.601761,0.418493,0.333876,0.914417,-0.714135,0,1
159,-0.928286,0.707902,0.018318,-0.397133,-0.273363,0,1
160,0.17023,0.179202,0.863013,0.920978,0.369689,1,0
161,-0.099827,0.991457,0.922369,-0.731404,0.271995,1,0
162,-0.494625,0.479106,0.235051,0.343776,0.253709,0,1
